iter	MAE
0	6.265139602
1	6.183045592
2	6.091156856
3	6.006529959
4	5.900086001
5	5.806070555
6	5.718402915
7	5.644727405
8	5.556289592
9	5.494848015
10	5.415190222
11	5.350049405
12	5.268419414
13	5.202811882
14	5.117433981
15	5.048675199
16	4.985012111
17	4.911754615
18	4.846623446
19	4.792867447
20	4.742789778
21	4.6751002
22	4.624824201
23	4.567491974
24	4.519798578
25	4.469730566
26	4.411934818
27	4.369112173
28	4.328391518
29	4.287610264
30	4.24203818
31	4.189569779
32	4.140214974
33	4.101269024
34	4.063944335
35	4.021671411
36	3.98695573
37	3.957992666
38	3.918968316
39	3.875951852
40	3.832142416
41	3.782251708
42	3.759686583
43	3.720687069
44	3.680229955
45	3.638764141
46	3.607601929
47	3.579068731
48	3.560473036
49	3.530484388
50	3.498305085
51	3.466676608
52	3.43718593
53	3.418625417
54	3.396357777
55	3.36492012
56	3.337404628
57	3.305130859
58	3.278633787
59	3.263476891
60	3.233325207
61	3.210091985
62	3.190941357
63	3.163941727
64	3.143007008
65	3.118353141
66	3.096039899
67	3.074120976
68	3.056731859
69	3.037773015
70	3.021279518
71	2.994013352
72	2.974919821
73	2.952695337
74	2.93238025
75	2.910987628
76	2.888958904
77	2.874984935
78	2.857176751
79	2.834021498
80	2.809216908
81	2.797479661
82	2.772127267
83	2.756640079
84	2.737828952
85	2.716606272
86	2.701074238
87	2.687917874
88	2.671371985
89	2.664125302
90	2.651730427
91	2.637499765
92	2.622612376
93	2.605927103
94	2.589514351
95	2.574155758
96	2.559472013
97	2.544700317
98	2.528209105
99	2.51392543
100	2.499499741
101	2.488128865
102	2.47297459
103	2.459912399
104	2.446684126
105	2.432713023
106	2.423344001
107	2.407391021
108	2.392727703
109	2.380338991
110	2.370635503
111	2.356813402
112	2.343553944
113	2.333989124
114	2.323098215
115	2.31232872
116	2.299292178
117	2.290097825
118	2.279272018
119	2.26737072
120	2.251695647
121	2.242486671
122	2.231775943
123	2.2221064
124	2.212770352
125	2.203830106
126	2.194716015
127	2.183203422
128	2.171800233
129	2.160632773
130	2.149156031
131	2.136483552
132	2.127724937
133	2.113396017
134	2.096562191
135	2.088055046
136	2.081697611
137	2.072370526
138	2.058123273
139	2.050788765
140	2.045096488
141	2.038597565
142	2.027553105
143	2.020415022
144	2.012361783
145	1.999990631
146	1.989374127
147	1.976761239
148	1.966211293
149	1.959261182
150	1.949931513
151	1.941326477
152	1.92750416
153	1.919007439
154	1.909562945
155	1.901670934
156	1.89133943
157	1.881409039
158	1.870834017
159	1.865502026
160	1.858404474
161	1.849800385
162	1.84635463
163	1.837228685
164	1.830971066
165	1.823947941
166	1.815508722
167	1.81066116
168	1.805369032
169	1.794545953
170	1.786332873
171	1.774130244
172	1.766348283
173	1.760067682
174	1.750897371
175	1.74565628
176	1.735439767
177	1.726987717
178	1.722237669
179	1.714916638
180	1.707130382
181	1.699777018
182	1.690222641
183	1.687547244
184	1.681844493
185	1.675235255
186	1.666266613
187	1.656997929
188	1.654127923
189	1.645878557
190	1.641292658
191	1.631315425
192	1.625570643
193	1.617088951
194	1.608782916
195	1.601182418
196	1.597632041
197	1.588092999
198	1.582349276
199	1.579511854
200	1.572432819
201	1.567755442
202	1.562812182
203	1.554163054
204	1.5458943
205	1.541187299
206	1.537044739
207	1.533590645
208	1.527219653
209	1.522104211
210	1.512515442
211	1.506636511
212	1.500154137
213	1.493090859
214	1.482344693
215	1.476935492
216	1.471033476
217	1.466969931
218	1.458947719
219	1.453938973
220	1.451035949
221	1.436510241
222	1.431828938
223	1.425289105
224	1.420708561
225	1.414764587
226	1.412019274
227	1.407039197
228	1.402503745
229	1.398954279
230	1.393887346
231	1.38956702
232	1.386567268
233	1.383489813
234	1.378039262
235	1.368270299
236	1.36600145
237	1.360089817
238	1.356164576
239	1.353543984
240	1.348698986
241	1.345651526
242	1.340372861
