iter	Passed	Remaining
0	23	23435
1	41	20791
2	60	20052
3	74	18488
4	86	17115
5	97	16138
6	109	15535
7	121	15060
8	133	14731
9	144	14274
10	155	14009
11	166	13749
12	177	13453
13	188	13276
14	199	13077
15	208	12815
16	219	12691
17	230	12570
18	240	12393
19	251	12307
20	261	12198
21	270	12037
22	281	11963
23	290	11816
24	299	11684
25	309	11578
26	317	11454
27	327	11363
28	336	11257
29	345	11180
30	357	11170
31	366	11087
32	376	11031
33	402	11428
34	434	11979
35	449	12043
36	461	12018
37	477	12076
38	489	12063
39	501	12024
40	512	11992
41	525	11988
42	538	11977
43	549	11941
44	561	11919
45	574	11908
46	587	11906
47	607	12050
48	620	12040
49	631	12004
50	645	12020
51	658	11999
52	671	11993
53	685	12005
54	696	11958
55	708	11949
56	720	11919
57	730	11865
58	742	11837
59	754	11823
60	767	11821
61	780	11800
62	792	11784
63	804	11760
64	816	11745
65	826	11698
66	838	11679
67	850	11654
68	861	11623
69	874	11624
70	888	11631
71	903	11646
72	918	11658
73	930	11643
74	941	11616
75	953	11591
76	967	11591
77	979	11582
78	991	11564
79	1004	11547
80	1016	11537
81	1028	11512
82	1038	11468
83	1049	11440
84	1060	11411
85	1069	11369
86	1081	11346
87	1092	11321
88	1103	11299
89	1116	11288
90	1128	11268
91	1139	11251
92	1151	11233
93	1162	11204
94	1176	11203
95	1188	11189
96	1198	11153
97	1210	11138
98	1220	11109
99	1229	11068
100	1239	11032
101	1248	10993
102	1258	10956
103	1268	10924
104	1276	10884
105	1286	10849
106	1295	10810
107	1304	10777
108	1314	10748
109	1324	10712
110	1334	10686
111	1343	10651
112	1353	10624
113	1363	10595
114	1374	10575
115	1385	10556
116	1395	10534
117	1406	10513
118	1417	10497
119	1427	10471
120	1438	10452
121	1449	10433
122	1459	10407
123	1470	10388
124	1481	10369
125	1490	10339
126	1500	10313
127	1514	10317
128	1524	10293
129	1534	10267
130	1544	10247
131	1553	10217
132	1563	10192
133	1572	10163
134	1583	10145
135	1593	10125
136	1602	10097
137	1612	10074
138	1622	10049
139	1632	10026
140	1641	10000
141	1650	9971
142	1659	9948
143	1669	9921
144	1678	9898
145	1688	9875
146	1697	9851
147	1707	9830
148	1716	9804
149	1727	9788
150	1741	9791
151	1751	9770
152	1761	9751
153	1771	9732
154	1781	9710
155	1791	9695
156	1802	9679
157	1813	9665
158	1824	9651
159	1834	9631
160	1843	9606
161	1853	9587
162	1862	9563
163	1871	9541
164	1880	9518
165	1889	9494
166	1899	9472
167	1908	9449
168	1917	9428
169	1926	9407
170	1936	9387
171	1946	9371
172	1961	9375
173	1970	9353
174	1982	9345
175	1991	9322
176	2000	9302
177	2011	9286
178	2020	9265
179	2029	9244
180	2038	9222
181	2047	9202
182	2056	9180
183	2065	9160
184	2075	9145
185	2085	9127
186	2094	9107
187	2103	9086
188	2113	9067
189	2121	9046
190	2131	9027
191	2141	9011
192	2150	8991
193	2160	8974
194	2168	8953
195	2178	8935
196	2188	8919
197	2197	8899
198	2206	8881
199	2215	8863
200	2225	8846
201	2234	8826
202	2243	8809
203	2253	8792
204	2262	8774
205	2272	8757
206	2281	8738
207	2290	8723
208	2300	8705
209	2311	8695
210	2321	8681
211	2332	8668
212	2346	8671
213	2359	8665
214	2371	8660
215	2386	8660
216	2396	8648
217	2408	8641
218	2420	8631
219	2430	8616
220	2443	8611
221	2454	8602
222	2465	8589
223	2476	8579
224	2487	8567
225	2496	8550
226	2507	8538
227	2518	8526
228	2529	8516
229	2543	8515
230	2554	8505
231	2566	8494
232	2577	8485
233	2589	8475
234	2603	8473
235	2616	8469
236	2626	8457
237	2636	8440
238	2646	8427
239	2657	8413
240	2669	8406
241	2680	8395
242	2690	8380
243	2701	8370
244	2712	8359
245	2722	8345
246	2735	8338
247	2746	8329
248	2756	8313
249	2768	8304
250	2780	8296
251	2794	8293
252	2804	8280
253	2815	8269
254	2826	8258
255	2839	8251
256	2851	8244
257	2864	8239
258	2876	8230
259	2886	8214
260	2895	8198
261	2905	8183
262	2914	8165
263	2923	8151
264	2932	8133
265	2942	8119
266	2952	8106
267	2963	8093
268	2974	8082
269	2983	8066
270	2994	8055
271	3006	8046
272	3017	8034
273	3028	8024
274	3039	8013
275	3050	8002
276	3061	7990
277	3073	7981
278	3083	7968
279	3094	7956
280	3105	7946
281	3117	7937
282	3127	7923
283	3139	7914
284	3150	7903
285	3160	7891
286	3172	7881
287	3184	7873
288	3195	7860
289	3206	7849
290	3217	7840
291	3228	7827
292	3238	7815
293	3251	7807
294	3264	7802
295	3273	7786
296	3286	7779
297	3298	7769
298	3308	7757
299	3320	7747
300	3331	7737
301	3341	7722
302	3352	7711
303	3364	7702
304	3374	7689
305	3385	7678
306	3396	7666
307	3405	7651
308	3415	7637
309	3424	7622
310	3433	7607
311	3443	7593
312	3452	7577
313	3461	7562
314	3471	7549
315	3480	7534
316	3490	7520
317	3499	7505
318	3508	7490
319	3518	7476
320	3527	7462
321	3537	7448
322	3546	7433
323	3556	7421
324	3567	7408
325	3578	7398
326	3590	7390
327	3602	7381
328	3613	7369
329	3625	7360
330	3637	7352
331	3649	7343
332	3664	7339
333	3675	7329
334	3688	7321
335	3699	7310
336	3709	7298
337	3721	7289
338	3732	7278
339	3742	7264
340	3753	7254
341	3763	7241
342	3774	7230
343	3786	7220
344	3796	7207
345	3807	7196
346	3818	7186
347	3829	7174
348	3839	7161
349	3850	7151
350	3860	7137
351	3871	7127
352	3888	7127
353	3900	7117
354	3912	7108
355	3922	7095
356	3934	7086
357	3946	7077
358	3957	7065
359	3968	7055
360	3981	7047
361	3992	7036
362	4001	7021
363	4012	7010
364	4022	6997
365	4032	6984
366	4042	6972
367	4053	6961
368	4067	6955
369	4079	6945
370	4090	6935
371	4103	6927
372	4114	6916
373	4128	6910
374	4139	6898
375	4147	6883
376	4159	6873
377	4170	6862
378	4180	6849
379	4191	6838
380	4204	6831
381	4215	6819
382	4225	6807
383	4237	6798
384	4249	6788
385	4260	6777
386	4273	6769
387	4288	6764
388	4301	6755
389	4311	6743
390	4322	6732
391	4335	6723
392	4345	6712
393	4358	6703
394	4369	6693
395	4380	6681
396	4392	6672
397	4404	6662
398	4419	6656
399	4431	6647
400	4441	6635
401	4454	6626
402	4468	6619
403	4481	6610
404	4494	6602
405	4505	6591
406	4517	6581
407	4527	6569
408	4541	6563
409	4554	6553
410	4566	6544
411	4577	6533
412	4587	6520
413	4599	6510
414	4612	6502
415	4625	6494
416	4636	6481
417	4648	6471
418	4659	6461
419	4669	6448
420	4682	6439
421	4695	6431
422	4711	6426
423	4723	6417
424	4733	6403
425	4744	6392
426	4755	6381
427	4766	6369
428	4777	6359
429	4789	6349
430	4801	6338
431	4812	6327
432	4824	6317
433	4838	6310
434	4848	6298
435	4860	6287
436	4872	6276
437	4882	6265
438	4894	6254
439	4906	6244
440	4917	6233
441	4927	6221
442	4939	6210
443	4954	6204
444	4966	6193
445	4976	6181
446	4988	6172
447	5002	6163
448	5014	6153
449	5025	6142
450	5038	6132
451	5050	6122
452	5059	6109
453	5070	6098
454	5084	6090
455	5097	6080
456	5107	6068
457	5119	6057
458	5131	6048
459	5146	6041
460	5157	6030
461	5168	6019
462	5251	6090
463	5334	6162
464	5402	6215
465	5417	6208
466	5429	6197
467	5452	6198
468	5480	6204
469	5494	6196
470	5507	6185
471	5519	6173
472	5529	6160
473	5540	6148
474	5551	6135
475	5562	6123
476	5574	6111
477	5586	6101
478	5598	6089
479	5610	6078
480	5621	6065
481	5630	6050
482	5642	6039
483	5654	6028
484	5665	6016
485	5676	6003
486	5687	5991
487	5698	5978
488	5708	5965
489	5718	5951
490	5727	5937
491	5737	5924
492	5746	5910
493	5756	5896
494	5765	5882
495	5774	5867
496	5784	5854
497	5793	5839
498	5802	5825
499	5811	5811
500	5821	5797
501	5831	5784
502	5841	5772
503	5851	5758
504	5861	5745
505	5870	5731
506	5879	5717
507	5888	5703
508	5898	5690
509	5907	5676
510	5917	5663
511	5927	5649
512	5936	5635
513	5949	5625
514	5959	5612
515	5968	5598
516	5979	5586
517	5989	5573
518	5998	5559
519	6008	5546
520	6018	5533
521	6027	5519
522	6037	5506
523	6046	5492
524	6056	5479
525	6065	5465
526	6074	5452
527	6083	5438
528	6093	5425
529	6102	5411
530	6111	5398
531	6122	5385
532	6131	5372
533	6141	5359
534	6150	5345
535	6159	5332
536	6169	5319
537	6178	5305
538	6187	5292
539	6196	5278
540	6206	5265
541	6216	5252
542	6227	5241
543	6239	5229
544	6249	5217
545	6258	5203
546	6267	5190
547	6276	5177
548	6286	5164
549	6295	5150
550	6305	5137
551	6315	5125
552	6324	5111
553	6334	5099
554	6343	5085
555	6352	5072
556	6362	5060
557	6372	5047
558	6382	5035
559	6391	5021
560	6401	5009
561	6410	4996
562	6420	4983
563	6430	4971
564	6441	4959
565	6451	4947
566	6462	4935
567	6471	4922
568	6481	4909
569	6491	4896
570	6500	4884
571	6510	4871
572	6520	4858
573	6530	4846
574	6540	4833
575	6549	4821
576	6559	4808
577	6568	4795
578	6578	4783
579	6587	4770
580	6597	4757
581	6607	4745
582	6616	4732
583	6628	4721
584	6638	4709
585	6647	4696
586	6657	4684
587	6669	4673
588	6679	4661
589	6690	4649
590	6700	4637
591	6711	4625
592	6723	4614
593	6738	4605
594	6749	4594
595	6761	4583
596	6773	4572
597	6785	4561
598	6795	4549
599	6806	4537
600	6818	4527
601	6832	4517
602	6844	4506
603	6857	4495
604	6868	4484
605	6880	4473
606	6894	4463
607	6907	4453
608	6921	4443
609	6932	4432
610	6943	4420
611	6956	4410
612	6968	4399
613	6979	4387
614	6991	4376
615	7003	4365
616	7018	4356
617	7030	4345
618	7041	4334
619	7053	4323
620	7066	4312
621	7078	4301
622	7089	4290
623	7101	4279
624	7114	4268
625	7127	4258
626	7138	4246
627	7151	4236
628	7164	4225
629	7176	4215
630	7190	4204
631	7203	4194
632	7217	4184
633	7230	4173
634	7242	4163
635	7253	4151
636	7266	4141
637	7279	4130
638	7289	4118
639	7300	4106
640	7309	4093
641	7318	4081
642	7328	4068
643	7337	4056
644	7346	4043
645	7356	4031
646	7365	4018
647	7376	4007
648	7388	3995
649	7399	3984
650	7414	3974
651	7426	3963
652	7437	3951
653	7447	3940
654	7459	3929
655	7470	3917
656	7481	3906
657	7490	3893
658	7501	3881
659	7512	3869
660	7526	3860
661	7538	3848
662	7549	3837
663	7562	3826
664	7573	3815
665	7585	3804
666	7597	3792
667	7608	3781
668	7620	3770
669	7632	3759
670	7643	3747
671	7654	3736
672	7666	3724
673	7677	3713
674	7688	3701
675	7700	3690
676	7713	3680
677	7726	3669
678	7736	3657
679	7748	3646
680	7758	3634
681	7769	3622
682	7781	3611
683	7790	3599
684	7800	3587
685	7810	3575
686	7820	3562
687	7831	3551
688	7841	3539
689	7852	3527
690	7863	3516
691	7876	3505
692	7890	3495
693	7908	3487
694	7919	3475
695	7932	3464
696	7944	3453
697	7956	3442
698	7965	3430
699	7978	3419
700	7989	3407
701	7999	3395
702	8010	3384
703	8022	3372
704	8031	3360
705	8043	3349
706	8054	3338
707	8063	3325
708	8075	3314
709	8085	3302
710	8095	3290
711	8107	3279
712	8119	3268
713	8131	3257
714	8142	3245
715	8154	3234
716	8166	3223
717	8179	3212
718	8191	3201
719	8204	3190
720	8215	3179
721	8224	3166
722	8234	3154
723	8243	3142
724	8254	3130
725	8265	3119
726	8277	3108
727	8288	3096
728	8302	3086
729	8315	3075
730	8325	3063
731	8336	3052
732	8347	3040
733	8359	3029
734	8370	3018
735	8382	3006
736	8395	2996
737	8406	2984
738	8417	2972
739	8429	2961
740	8439	2949
741	8451	2938
742	8462	2927
743	8472	2915
744	8483	2903
745	8495	2892
746	8504	2880
747	8516	2869
748	8528	2857
749	8537	2845
750	8548	2834
751	8560	2823
752	8570	2811
753	8581	2799
754	8595	2789
755	8605	2777
756	8614	2765
757	8624	2753
758	8634	2741
759	8643	2729
760	8652	2717
761	8662	2705
762	8671	2693
763	8680	2681
764	8690	2669
765	8701	2658
766	8711	2646
767	8720	2634
768	8729	2622
769	8739	2610
770	8748	2598
771	8763	2588
772	8772	2576
773	8784	2564
774	8795	2553
775	8805	2541
776	8816	2530
777	8826	2518
778	8837	2507
779	8849	2495
780	8881	2490
781	8906	2482
782	8919	2471
783	8932	2461
784	8945	2449
785	8957	2438
786	8970	2427
787	8984	2417
788	8997	2406
789	9009	2394
790	9024	2384
791	9035	2373
792	9049	2362
793	9060	2350
794	9070	2339
795	9081	2327
796	9094	2316
797	9105	2304
798	9115	2293
799	9128	2282
800	9139	2270
801	9149	2258
802	9176	2251
803	9193	2241
804	9203	2229
805	9214	2217
806	9225	2206
807	9235	2194
808	9248	2183
809	9261	2172
810	9271	2160
811	9285	2149
812	9295	2137
813	9305	2126
814	9317	2114
815	9334	2104
816	9353	2095
817	9364	2083
818	9374	2071
819	9401	2063
820	9418	2053
821	9432	2042
822	9443	2030
823	9453	2019
824	9464	2007
825	9477	1996
826	9491	1985
827	9507	1974
828	9521	1964
829	9534	1952
830	9546	1941
831	9556	1929
832	9590	1922
833	9604	1911
834	9616	1900
835	9629	1889
836	9642	1877
837	9654	1866
838	9668	1855
839	9681	1844
840	9692	1832
841	9703	1820
842	9713	1809
843	9723	1797
844	9733	1785
845	9763	1777
846	9780	1766
847	9798	1756
848	9809	1744
849	9818	1732
850	9834	1721
851	9845	1710
852	9856	1698
853	9868	1687
854	9881	1675
855	9892	1664
856	9902	1652
857	9914	1640
858	9925	1629
859	9935	1617
860	9946	1605
861	9959	1594
862	9970	1582
863	9981	1571
864	9993	1559
865	10005	1548
866	10016	1536
867	10028	1525
868	10042	1513
869	10053	1502
870	10064	1490
871	10076	1479
872	10089	1467
873	10100	1456
874	10111	1444
875	10123	1433
876	10137	1421
877	10150	1410
878	10160	1398
879	10172	1387
880	10185	1375
881	10197	1364
882	10208	1352
883	10219	1341
884	10231	1329
885	10241	1317
886	10255	1306
887	10266	1294
888	10279	1283
889	10291	1271
890	10304	1260
891	10315	1248
892	10330	1237
893	10345	1226
894	10359	1215
895	10369	1203
896	10381	1192
897	10394	1180
898	10406	1169
899	10417	1157
900	10430	1146
901	10441	1134
902	10451	1122
903	10462	1111
904	10473	1099
905	10484	1087
906	10513	1078
907	10528	1066
908	10544	1055
909	10555	1043
910	10565	1032
911	10575	1020
912	10585	1008
913	10594	996
914	10604	985
915	10613	973
916	10623	961
917	10633	949
918	10643	938
919	10653	926
920	10665	914
921	10675	903
922	10686	891
923	10697	879
924	10708	868
925	10719	856
926	10730	844
927	10740	833
928	10750	821
929	10760	809
930	10772	798
931	10784	786
932	10794	775
933	10804	763
934	10816	751
935	10827	740
936	10839	728
937	10851	717
938	10863	705
939	10874	694
940	10885	682
941	10898	671
942	10911	659
943	10923	647
944	10935	636
945	10945	624
946	10955	613
947	10966	601
948	10977	589
949	10988	578
950	10998	566
951	11009	555
952	11019	543
953	11032	531
954	11043	520
955	11053	508
956	11065	497
957	11076	485
958	11088	474
959	11100	462
960	11113	451
961	11125	439
962	11139	427
963	11149	416
964	11161	404
965	11172	393
966	11185	381
967	11196	370
968	11207	358
969	11217	346
970	11228	335
971	11239	323
972	11249	312
973	11261	300
974	11273	289
975	11283	277
976	11294	265
977	11306	254
978	11319	242
979	11331	231
980	11360	220
981	11381	208
982	11397	197
983	11407	185
984	11418	173
985	11429	162
986	11438	150
987	11449	139
988	11458	127
989	11470	115
990	11480	104
991	11490	92
992	11501	81
993	11512	69
994	11523	57
995	11535	46
996	11548	34
997	11560	23
998	11572	11
999	11595	0
